alpha,beta,sigma,specie
-4.354192184,2.961464303,0.234838817,BUGLLUT
-4.688506676,2.878471285,0.23490495,BUGLLUT
-4.23960122,2.999317991,0.239273172,BUGLLUT
-4.21562236,2.919014542,0.237825483,BUGLLUT
-4.216571501,2.878150289,0.240478643,BUGLLUT
-4.682924476,2.982751402,0.244522433,BUGLLUT
-4.317133356,3.027019479,0.218451023,BUGLLUT
-4.341855531,2.849249889,0.242164697,BUGLLUT
-4.289180054,2.951647854,0.245199832,BUGLLUT
-4.553513366,3.016042568,0.24707284,BUGLLUT
-4.347044324,2.876292416,0.247792548,BUGLLUT
-4.409633314,2.828321805,0.240391189,BUGLLUT
-4.348845269,2.896533347,0.239769703,BUGLLUT
-4.034111836,3.150336808,0.238854904,BUGLLUT
-4.653295545,2.868035233,0.236115161,BUGLLUT
-4.215557888,2.810305595,0.223331294,BUGLLUT
-4.403856618,2.828274133,0.24233322,BUGLLUT
-4.123925272,2.899404597,0.240847912,BUGLLUT
-4.486178764,2.95591974,0.251758354,BUGLLUT
-3.842570545,2.888681164,0.236391315,BUGLLUT
-4.314385033,2.807637559,0.227671897,BUGLLUT
-4.59812731,2.794543789,0.24848637,BUGLLUT
-4.497018455,2.949073235,0.232565156,BUGLLUT
-4.387845864,2.952105759,0.235763213,BUGLLUT
-4.388116823,2.954657807,0.236419371,BUGLLUT
-4.388458582,2.98529236,0.22840559,BUGLLUT
-4.654208663,2.940869361,0.226028271,BUGLLUT
-4.850355396,2.885975089,0.247770499,BUGLLUT
-4.280519246,2.85451654,0.246678554,BUGLLUT
-4.092320705,2.888577588,0.256359027,BUGLLUT
-4.402324458,2.917785051,0.23965555,BUGLLUT
-4.118183899,2.985189532,0.243500899,BUGLLUT
-4.535042323,2.973190009,0.244289825,BUGLLUT
-4.101553174,2.880736247,0.250083204,BUGLLUT
-4.328945043,2.966106471,0.233167302,BUGLLUT
-4.890647704,2.886346732,0.238666122,BUGLLUT
-4.259890831,2.871510576,0.243199194,BUGLLUT
-4.360460693,3.071557306,0.242827702,BUGLLUT
-4.025165077,2.824702807,0.228477409,BUGLLUT
-4.377387358,2.949124429,0.247995549,BUGLLUT
-4.06904762,2.961605472,0.239332515,BUGLLUT
-4.803632689,2.924159759,0.248182563,BUGLLUT
-4.028876401,2.973118307,0.239905476,BUGLLUT
-1.732416702,2.920927451,0.113014435,CHLAPRO
-1.694889576,2.944553179,0.110786829,CHLAPRO
-1.723438999,2.964535429,0.113417822,CHLAPRO
-1.780146335,2.940971153,0.113580236,CHLAPRO
-1.65446562,2.95605275,0.114845409,CHLAPRO
-1.71526749,2.956496316,0.112982861,CHLAPRO
-1.730184132,2.977995826,0.112886719,CHLAPRO
-1.822243473,2.953078182,0.11066498,CHLAPRO
-1.797941198,2.989729413,0.104039529,CHLAPRO
-1.820939585,3.013767814,0.110539908,CHLAPRO
-1.806527039,2.952612235,0.114519892,CHLAPRO
-1.777578521,3.005324088,0.113227319,CHLAPRO
-1.798419792,2.960251522,0.110274383,CHLAPRO
-1.727569963,2.95762999,0.10973902,CHLAPRO
-1.738417452,2.959704196,0.114941085,CHLAPRO
-1.727821581,2.929494802,0.115304196,CHLAPRO
-1.697528569,2.959154533,0.115275276,CHLAPRO
-1.699585336,2.944528554,0.113733429,CHLAPRO
-1.692889325,2.950635724,0.113913451,CHLAPRO
-1.773054039,3.010245836,0.116674918,CHLAPRO
-1.693805867,2.933457066,0.111714585,CHLAPRO
-1.712146307,2.956423616,0.114696138,CHLAPRO
-1.724732077,3.009967857,0.115100216,CHLAPRO
-1.700032781,2.932268479,0.114519892,CHLAPRO
-1.703778688,2.959704196,0.111194647,CHLAPRO
-1.65530577,2.913149848,0.114519892,CHLAPRO
-1.748125469,2.942741445,0.107767614,CHLAPRO
-1.678622356,2.939482754,0.117125236,CHLAPRO
-1.693850229,3.007245152,0.118797476,CHLAPRO
-1.73720102,2.9440829,0.113928412,CHLAPRO
-1.726530963,2.987955114,0.117122623,CHLAPRO
-1.738147146,2.959275201,0.11438943,CHLAPRO
-1.689181762,3.000160788,0.10886271,CHLAPRO
-1.730184132,2.900628673,0.117328617,CHLAPRO
-1.70548829,2.967225403,0.112862479,CHLAPRO
-1.650525194,2.918002825,0.111689925,CHLAPRO
-1.645541724,2.955726248,0.122783649,CHLAPRO
-1.7213517,2.966197746,0.114140879,CHLAPRO
-1.709792585,3.006331287,0.117068826,CHLAPRO
-1.773489391,2.945801275,0.115255767,CHLAPRO
-1.698495633,2.971428155,0.113282529,CHLAPRO
-1.786459437,2.988602517,0.117386978,CHLAPRO
-1.740409565,2.934242175,0.110637699,CHLAPRO
-1.696683703,2.958998944,0.114867868,CHLAPRO
-1.744008854,2.920522937,0.116890512,CHLAPRO
-1.772821339,2.9632278,0.114519892,CHLAPRO
-1.732333534,2.927425823,0.106616607,CHLAPRO
-1.786061209,2.928889514,0.113456347,CHLAPRO
-1.742905467,2.930084347,0.113593529,CHLAPRO
-1.751268956,2.959850989,0.110940952,CHLAPRO
-1.749692806,2.945029742,0.112852101,CHLAPRO
-1.743971026,2.945824607,0.114198402,CHLAPRO
-1.748397454,2.974290787,0.112397386,CHLAPRO
-1.72042483,2.958998944,0.10973902,CHLAPRO
-1.800598459,2.965079458,0.117377314,CHLAPRO
-1.698928553,2.978821707,0.109932703,CHLAPRO
-1.740788954,3.014418817,0.12150782,CHLAPRO
-1.810392726,2.944528554,0.115629779,CHLAPRO
-1.800128169,2.904488882,0.111194647,CHLAPRO
-1.72916582,2.939598338,0.122656909,CHLAPRO
-1.710548555,2.933359926,0.117980033,CHLAPRO
-1.701972558,2.963652274,0.116517783,CHLAPRO
-1.716327359,2.912197736,0.109760103,CHLAPRO
-1.695744541,2.939459236,0.117263227,CHLAPRO
-1.721414114,2.92332558,0.117215635,CHLAPRO
-1.771245095,2.959154533,0.114223596,CHLAPRO
-1.688553321,2.962396839,0.115614112,CHLAPRO
-1.736357325,3.004007486,0.110376884,CHLAPRO
-1.729379172,3.034003185,0.109790811,CHLAPRO
-1.682280025,2.997163286,0.111337024,CHLAPRO
-1.735980152,2.893938325,0.111265005,CHLAPRO
-1.665697222,2.941768695,0.111194647,CHLAPRO
-1.752348238,2.978761824,0.115377435,CHLAPRO
-1.743977869,2.934898458,0.112390262,CHLAPRO
-1.803869513,2.953268842,0.111348522,CHLAPRO
-1.698619053,2.944238084,0.111771521,CHLAPRO
-1.717622394,2.967856674,0.122783649,CHLAPRO
-1.740521346,2.946397409,0.110594492,CHLAPRO
-1.743285733,2.923933395,0.109307446,CHLAPRO
-1.660536985,2.890717417,0.116978138,CHLAPRO
-1.777693897,2.95605275,0.116739943,CHLAPRO
-1.631570459,2.972550556,0.111458563,CHLAPRO
-1.72628095,2.956018048,0.109679547,CHLAPRO
-1.814298565,2.976089214,0.115458471,CHLAPRO
-1.700224388,2.95793309,0.111468765,CHLAPRO
-1.699988469,2.937533327,0.113320715,CHLAPRO
-1.705459281,2.95605275,0.115020797,CHLAPRO
-1.656224764,2.955876672,0.110896404,CHLAPRO
-1.727860406,2.958910399,0.111798661,CHLAPRO
-1.662306919,2.959704196,0.110655915,CHLAPRO
-1.68140698,2.952733385,0.11488738,CHLAPRO
-1.722769488,2.923846222,0.108268313,CHLAPRO
-1.652120164,2.896559856,0.112530688,CHLAPRO
-1.681578059,2.92899519,0.112773546,CHLAPRO
-1.735848621,2.963201437,0.115485296,CHLAPRO
-1.805765094,3.000318791,0.109470835,CHLAPRO
-1.801782741,2.881350015,0.115459358,CHLAPRO
-1.718663415,2.899159111,0.111737628,CHLAPRO
-1.676101966,2.949046247,0.112993812,CHLAPRO
-1.798846774,3.013277323,0.108452723,CHLAPRO
-5.032595576,2.757122622,0.286859341,CITHMAC
-4.489114885,3.077315048,0.260531692,CITHMAC
-4.564080379,2.783430697,0.262389611,CITHMAC
-4.291186677,2.809710011,0.27807374,CITHMAC
-4.01578309,2.771782598,0.278753752,CITHMAC
-4.491303685,2.749570077,0.266176589,CITHMAC
-4.553393444,2.735310737,0.262257499,CITHMAC
-4.375149735,2.907363442,0.283067784,CITHMAC
-4.471753372,2.853944031,0.249384945,CITHMAC
-4.662048184,2.675025405,0.25216241,CITHMAC
-4.152125062,2.697513659,0.282780226,CITHMAC
-4.535769349,2.8418272,0.24687579,CITHMAC
-4.166422763,2.911202039,0.250840373,CITHMAC
-4.415853942,2.82096568,0.270104348,CITHMAC
-4.135715672,2.864236658,0.276969983,CITHMAC
-5.02769215,2.753435813,0.242944789,CITHMAC
-4.242656786,2.632696789,0.263588867,CITHMAC
-4.156350654,2.805665952,0.258193925,CITHMAC
-4.212314108,2.817411566,0.283004481,CITHMAC
-4.24104741,2.950876902,0.291902283,CITHMAC
-3.911314742,2.776326692,0.270583676,CITHMAC
-4.001991962,3.152619933,0.325379888,CITHMAC
-4.201960807,2.705969699,0.258308345,CITHMAC
-4.177258147,2.981548226,0.300886466,CITHMAC
-4.074387668,2.7818366,0.289002273,CITHMAC
-4.184045903,2.934649611,0.263219888,CITHMAC
-4.029449186,2.677398262,0.247938459,CITHMAC
-4.732640335,2.803882481,0.254133304,CITHMAC
-4.508124465,2.815904992,0.246660478,CITHMAC
-3.741304948,2.904835915,0.249315958,CITHMAC
-4.473115152,2.870539673,0.298515249,CITHMAC
-4.012697106,2.846422739,0.259843071,CITHMAC
-4.945330083,3.041546564,0.298851093,CITHMAC
-4.317405036,2.802321804,0.258527853,CITHMAC
-4.180919089,2.737497642,0.249636167,CITHMAC
-3.898795124,2.900800142,0.262410058,CITHMAC
-4.316192142,2.717106626,0.251109951,CITHMAC
-4.321189433,2.890638061,0.279034476,CITHMAC
-4.576107461,2.683181962,0.267524579,CITHMAC
-3.956713664,3.019257178,0.283272795,CITHMAC
-4.158179356,2.960447179,0.298439589,CITHMAC
-4.206828297,2.773447746,0.273946231,CITHMAC
-4.069406008,2.808405146,0.292469115,CITHMAC
-4.866530793,2.915273357,0.298114795,CITHMAC
-4.269118582,3.090955093,0.277033966,CITHMAC
-3.783128931,2.940421577,0.247088069,CITHMAC
-5.020972363,2.672702921,0.260867539,CITHMAC
-4.985220023,2.670954131,0.252730054,CITHMAC
-4.204005969,2.752329364,0.242830904,CITHMAC
-4.129361173,2.727648894,0.280031481,CITHMAC
-4.000008488,2.725804092,0.269959857,CITHMAC
-4.22959239,2.849318936,0.246969019,CITHMAC
-4.58112169,2.827515411,0.260446305,CITHMAC
-3.498613574,2.77988347,0.247696246,CITHMAC
-3.95725025,2.769463104,0.307931,CITHMAC
-4.42763871,2.771052619,0.260842388,CITHMAC
-3.714957379,2.681475467,0.270446499,CITHMAC
-4.594108885,2.889438433,0.272265794,CITHMAC
-4.59476877,2.820870239,0.291880168,CITHMAC
-4.035432983,2.672309735,0.251482345,CITHMAC
-4.438278189,2.711349737,0.274016845,CITHMAC
-4.426221119,2.666060964,0.279528479,CITHMAC
-3.651077539,2.543564135,0.279434325,CITHMAC
-4.659480731,2.749547051,0.271298417,CITHMAC
-4.862636458,3.078947623,0.270496073,CITHMAC
-4.658436866,2.831553709,0.2878858,CITHMAC
-4.43748982,2.968302492,0.282444518,CITHMAC
-4.20813266,2.613516608,0.261878424,CITHMAC
-4.208001724,2.801165857,0.263134638,CITHMAC
-4.57282516,2.714810026,0.301051845,CITHMAC
-4.776832915,2.729346174,0.28988472,CITHMAC
-3.947602674,2.879278397,0.299110109,CITHMAC
-4.754102409,2.698177738,0.243306579,CITHMAC
-4.344636813,2.604554655,0.280846338,CITHMAC
-4.361008403,2.823802493,0.275243127,CITHMAC
-4.143106301,2.731925671,0.243945196,CITHMAC
-3.972313963,2.926740641,0.280300997,CITHMAC
-4.293651011,2.925531454,0.302406915,CITHMAC
-4.276039824,2.890185439,0.249931903,CITHMAC
-4.762272264,2.711235632,0.286431882,CITHMAC
-4.012146652,2.815835939,0.250790211,CITHMAC
-3.931973269,2.93884471,0.296996661,CITHMAC
-4.271477383,2.916789243,0.278573587,CITHMAC
-3.767216777,2.90800715,0.283620761,CITHMAC
-4.983511118,2.602175831,0.2644471,CITHMAC
-4.427394642,2.713173242,0.274017405,CITHMAC
-4.482188378,2.701891886,0.246516963,CITHMAC
-4.527540431,2.826015916,0.247320654,CITHMAC
-4.339558761,2.945332237,0.263428873,CITHMAC
-4.952208968,2.742213471,0.300088539,CITHMAC
-4.493644693,2.658005039,0.260441029,CITHMAC
-4.881515298,2.91098355,0.264838016,CITHMAC
-4.381861271,2.912726917,0.269078989,CITHMAC
-4.698903048,2.725900263,0.256373989,CITHMAC
-4.08272377,2.726176582,0.267584805,CITHMAC
-4.714782983,2.676009001,0.292237379,CITHMAC
-3.951992213,3.068053307,0.270788636,CITHMAC
-4.444103785,2.697318516,0.26143272,CITHMAC
-3.96790132,2.93728299,0.246390486,CITHMAC
-4.275139714,2.671457722,0.239315183,CITHMAC
-4.967188973,3.08687504,0.217939211,GOBINIG
-4.409473441,3.063843618,0.215129746,GOBINIG
-4.232946387,3.145275069,0.206247101,GOBINIG
-4.731130686,3.154176628,0.21313092,GOBINIG
-4.77334219,3.089110688,0.216933236,GOBINIG
-4.693814203,3.14133546,0.21055573,GOBINIG
-4.828341173,3.105664997,0.214991784,GOBINIG
-4.805706133,3.107538861,0.205695578,GOBINIG
-4.8004753,3.186774032,0.212839723,GOBINIG
-4.800915815,3.143440355,0.212434468,GOBINIG
-4.79559983,3.131725966,0.21791534,GOBINIG
-4.79194659,3.151462973,0.218581674,GOBINIG
-4.80628308,3.149191871,0.21632083,GOBINIG
-4.673806874,3.211949387,0.207473726,GOBINIG
-4.770609052,3.088902231,0.215864942,GOBINIG
-4.493797311,3.068189869,0.216614459,GOBINIG
-4.770449393,3.116917348,0.219287412,GOBINIG
-4.713256888,3.048915797,0.216390152,GOBINIG
-4.791186035,3.053727483,0.215331783,GOBINIG
-4.793846058,3.134783235,0.212783375,GOBINIG
